January,21,12.9,73,5
February,25.7,20.4,66,5.3
March,30.3,42.4,66,6.1
April,32.6,48.8,70,7.2
May,34.8,124.5,76,7.8
June,33.1,259.3,84,7.6
July,31.4,334.4,85,7
August,30.8,303.6,84,6.6
September,29.8,270,82,6
October,27.8,160,79,5.7
November,24.4,25.4,73,4.7
December,22.3,6.6,67,4.3
