Date, Max Temperature(°C), Min Temperature(°C), Precipitation(mm), Rain Sum(mm), Precipitation Hours
2024-04-02, 38.2, 26.8, 0.0, 0.0, 0.0
2024-04-03, 36.8, 26.6, 0.0, 0.0, 0.0
2024-04-04, 38.0, 27.2, 0.0, 0.0, 0.0
2024-04-05, 42.3, 27.3, 0.5, 0.0, 1.0
2024-04-06, 39.2, 27.2, 0.0, 0.0, 0.0
2024-04-07, 33.5, 24.0, 12.6, 0.0, 5.0
2024-04-08, 31.5, 23.9, 0.3, 0.0, 3.0
2024-04-09, 29.1, 22.9, 0.0, 0.0, 0.0
